	Time	cvTop	cvBot	Sum(cvTop)	Sum(cvBot)	cvCh0	cvCh1	cTop	cRoot	cBot	cvRoot	Sum(cvRoot)	Sum(cvNEql)	TLevel	cGWL	cRunOff	Sum(cRunOff)	"(cv(i),"	"Sum(cv(i)),"	"i=1,NObs)"
	[T]	[M/L2/T]	[M/L2/T]	[M/L2]	[M/L2]	[M/L2]	[M/L2]	[M/L3]	[M/L3]	[M/L3]	[M/L2/T]	[M/L2]	[M/L2]	[M/L3]	[M/L2]	[M/L3]	[M/L2/T]	[M/L2]		
	3.4444	1.47E+01	0.00E+00	5.06E+01	0.00E+00	0.00E+00	0.00E+00	8.42E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	46	0.00E+00	0.00E+00	0.00E+00			
	3.5906	1.47E+01	0.00E+00	5.28E+01	0.00E+00	0.00E+00	0.00E+00	8.54E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	47	0.00E+00	0.00E+00	0.00E+00			
	3.7806	1.47E+01	0.00E+00	5.56E+01	0.00E+00	0.00E+00	0.00E+00	8.68E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	48	0.00E+00	0.00E+00	0.00E+00			
	3.9707	1.47E+01	0.00E+00	5.84E+01	0.00E+00	0.00E+00	0.00E+00	8.81E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	49	0.00E+00	0.00E+00	0.00E+00			
	4.1607	1.47E+01	0.00E+00	6.12E+01	0.00E+00	0.00E+00	0.00E+00	8.94E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	50	0.00E+00	0.00E+00	0.00E+00			
	4.3508	1.47E+01	0.00E+00	6.40E+01	0.00E+00	0.00E+00	0.00E+00	9.06E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	51	0.00E+00	0.00E+00	0.00E+00			
	4.4838	1.47E+01	0.00E+00	6.59E+01	0.00E+00	0.00E+00	0.00E+00	9.16E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	52	0.00E+00	0.00E+00	0.00E+00			
	4.6567	1.47E+01	0.00E+00	6.85E+01	0.00E+00	0.00E+00	0.00E+00	9.27E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	53	0.00E+00	0.00E+00	0.00E+00			
	4.8297	1.47E+01	0.00E+00	7.10E+01	0.00E+00	0.00E+00	0.00E+00	9.39E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	54	0.00E+00	0.00E+00	0.00E+00			
	5.0026	1.47E+01	0.00E+00	7.35E+01	0.00E+00	0.00E+00	0.00E+00	9.51E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	55	0.00E+00	0.00E+00	0.00E+00			
	5.1756	1.47E+01	0.00E+00	7.61E+01	0.00E+00	0.00E+00	0.00E+00	9.64E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	56	0.00E+00	0.00E+00	0.00E+00			
	5.3485	1.47E+01	0.00E+00	7.86E+01	0.00E+00	0.00E+00	0.00E+00	9.76E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	57	0.00E+00	0.00E+00	0.00E+00			
	5.5215	1.47E+01	0.00E+00	8.12E+01	0.00E+00	0.00E+00	0.00E+00	9.89E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	58	0.00E+00	0.00E+00	0.00E+00			
	5.6944	1.47E+01	0.00E+00	8.37E+01	0.00E+00	0.00E+00	0.00E+00	1.00E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	59	0.00E+00	0.00E+00	0.00E+00			
	5.8674	1.47E+01	0.00E+00	8.63E+01	0.00E+00	0.00E+00	0.00E+00	1.01E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	60	0.00E+00	0.00E+00	0.00E+00			
	6.0922	1.47E+01	0.00E+00	8.96E+01	0.00E+00	0.00E+00	0.00E+00	1.03E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	61	0.00E+00	0.00E+00	0.00E+00			
	6.317	1.47E+01	0.00E+00	9.29E+01	0.00E+00	0.00E+00	0.00E+00	1.04E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	62	0.00E+00	0.00E+00	0.00E+00			
	6.5418	1.47E+01	0.00E+00	9.62E+01	0.00E+00	0.00E+00	0.00E+00	1.05E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	63	0.00E+00	0.00E+00	0.00E+00			
	6.6992	1.47E+01	0.00E+00	9.85E+01	0.00E+00	0.00E+00	0.00E+00	1.06E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	64	0.00E+00	0.00E+00	0.00E+00			
	6.8566	1.47E+01	0.00E+00	1.01E+02	0.00E+00	0.00E+00	0.00E+00	1.07E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	65	0.00E+00	0.00E+00	0.00E+00			
	7.014	1.47E+01	0.00E+00	1.03E+02	0.00E+00	0.00E+00	0.00E+00	1.08E+01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	66	0.00E+00	0.00E+00	0.00E+00			
